id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1303684091253310536,CBD 3BD Unit- Walk to French Quarter!,664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.9475626,-90.07358169999999,Entire home/apt,332,2,26,2026-02-23,3.90,22,342,26,23-XSTR-21437
1303690428197681203,"Central Combo Unit w Deck, blocks from the Parade!",664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.94838,-90.07415,Entire home/apt,698,2,2,2025-11-10,0.31,22,305,2,23-XSTR-61401
1303756126839862960,"Chic Downtown Unit w/Balcony and Deck, Walk to FQ",664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.94672,-90.07282,Entire home/apt,318,2,10,2026-02-07,1.60,22,301,10,23-XSTR-61437
1303761711001373081,"Upscale 3BD w Deck Access, Walk to French Quarter",664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.94707,-90.07457,Entire home/apt,600,1,5,2026-01-03,0.80,22,309,5,23-XSTR-61437
1303827865254446788,Roami at Churchill | 3 Bed Combo | 2 Units,654140882,1470644408660360433,Roami At The Churchill,,Lower Garden District,29.9407118,-90.0677006,Hotel room,392,1,3,2026-02-08,0.29,10,261,3,25-XSTR-45772
1303828621219355357,Roami at Churchill | 4 Bed Combo | 2 Units,654140882,1470644408660360433,Roami At The Churchill,,Lower Garden District,29.9407118,-90.0677006,Hotel room,957,1,2,2026-02-16,0.20,10,350,2,25-XSTR-45772
1303828947752660532,Roami at Churchill | 5 Bed Combo | 2 Units,654140882,1470644408660360433,Roami At The Churchill,,Lower Garden District,29.9407118,-90.0677006,Hotel room,549,1,6,2026-03-08,1.64,10,337,6,25-XSTR-45772
1303897403638473542,Mid-City Renovated 3br / 2 bath,5118728,1462673262136490966,Silpa,,Mid-City,29.96967344487325,-90.09696019501382,Entire home/apt,131,30,2,2025-11-06,0.17,1,294,2,
1303963971397789417,Traditional New Orleans shotgun,665289972,1470669368927758344,Shannon,,Navarre,29.987104991733577,-90.11221816225694,Entire home/apt,245,1,19,2026-03-09,1.37,1,110,15,"23-NSTR-15829, 24-OSTR-12559"
1304257998149429273,Carrollton retreat,227472269,1469211124350431708,Donny,,Leonidas,29.945799477956253,-90.13228638858259,Entire home/apt,274,2,15,2026-02-17,1.18,1,221,13,"25-nstr-00602, 24-ostr-22885"
1304410567538016855,Contemporary NOLA Pad Downtown w/ Balcony,664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.94839,-90.07266,Entire home/apt,270,1,5,2026-02-21,0.81,22,316,5,23-XSTR-61437
1304419869297824785,Luxury Condo | Walk to French Quarter!,664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.947997364759072,-90.07268505050554,Entire home/apt,450,1,4,2025-12-30,0.68,22,317,4,23-XSTR-61437
1304427747044644938,2BR City Views & Walk to Bourbon | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,599,1,5,2026-02-18,0.41,40,344,4,25-XSTR-22300
1304427771368757576,2BR Floor-to-Ceiling Canal St View | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,360,2,15,2026-02-22,1.22,40,344,14,25-XSTR-22300
1304427793863260838,3BR Lavish Penthouse + Patio | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,918,1,7,2025-11-23,0.53,40,308,4,25-XSTR-22300
1304427816017945248,2BR Canal St Charm: Elegant Space | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,530,1,13,2026-03-18,1.00,40,323,11,25-XSTR-22300
1304427837028470620,2BR Getaway in Iconic Downtown | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,563,1,7,2026-01-18,0.54,40,339,4,25-XSTR-22300
1304427858875023963,2BR Prime Unit 2 Blocks to Bourbon | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,375,1,27,2026-03-07,1.82,40,294,23,25-XSTR-22300
1304427881767812200,2BR Cityscape 2 Blocks to Bourbon | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,417,1,3,2025-06-08,0.23,40,328,1,25-XSTR-22300
1304427907838878250,2BR Great View by French Quarter | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,417,1,8,2026-02-17,0.60,40,323,6,25-XSTR-22300
1304427929148616457,Cozy Studio Steps to French Qtr | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,246,1,2,2026-02-18,0.40,40,332,2,25-XSTR-22300
1304427951037175219,Large 4BR for 14 in Prime Location | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,685,1,3,2025-02-24,0.21,40,290,0,25-XSTR-22300
1304427972798582423,4BR Group Unit for 16 Near Bourbon | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.9554667,-90.0717274,Entire home/apt,780,1,2,2026-02-08,0.14,40,318,1,25-XSTR-22300
1304438190657929956,Chic 5BD Combo Unit | Steps from French Quarter!,664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.946436281959453,-90.07257227069726,Entire home/apt,600,1,0,,,22,299,0,23-XSTR-61437
1304443307455676671,Gorgeous Combo Unit : 5 Ensuites - Near FQ,664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.94648,-90.07303,Entire home/apt,600,2,3,2025-12-12,0.45,22,305,3,23-XSTR-61437
1304445756382136421,2 Units + Balcony - Close to French Quarter,664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.946442232537944,-90.07282051752408,Entire home/apt,600,2,2,2025-11-16,0.33,22,300,2,23-XSTR-61437
